Sample	aligned_reads	ambig_reads	discarded_reads	meth_chg	meth_chh	meth_cpg	no_alignments	percent_aligned	percent_chg_meth	percent_chh_meth	percent_cpg_meth	strand_ctob	strand_ctot	strand_directional	strand_ob	strand_ot	total_c	total_reads	unmeth_chg	unmeth_chh	unmeth_cpg
USC_01_494147_S15_L001_R1_001_val_1	44241124.0	2424013.0	17.0	8021861.0	23494392.0	139629542.0	5467978.0	84.86184644826997	1.3	1.2	82.7	0.0	0.0	directional	33051817.0	11189290.0	2808465457.0	52133115.0	628201408.0	1979837033.0	29281221.0
USC_02_53755_S16_L001_R1_001_val_1	29580872.0	1605182.0	25.0	5322364.0	15578874.0	92488652.0	3698562.0	84.79632397272195	1.3	1.2	82.9	0.0	0.0	directional	22007603.0	7573244.0	1870601424.0	34884616.0	417655187.0	1320514335.0	19042012.0
USC_03_740189_S17_L001_R1_001_val_1	28583266.0	1551673.0	5.0	5181868.0	15166595.0	90887516.0	3516368.0	84.93954187277184	1.3	1.2	83.5	0.0	0.0	directional	21278379.0	7304882.0	1808600861.0	33651307.0	404095486.0	1275303947.0	17965449.0
USC_04_20438_S18_L001_R1_001_val_1	27756639.0	1530549.0	18.0	5053292.0	14786798.0	88505014.0	3494398.0	84.67143413988573	1.3	1.2	83.3	0.0	0.0	directional	20749211.0	7007410.0	1760471305.0	32781586.0	394437844.0	1239962390.0	17725967.0
USC_05_495067_S19_L001_R1_001_val_1	29006280.0	1501683.0	7.0	5280292.0	15546135.0	90661882.0	3860608.0	84.39768997087485	1.3	1.2	83.6	0.0	0.0	directional	21464039.0	7542234.0	1828867427.0	34368571.0	407668623.0	1291931415.0	17779080.0
USC_06_73887_S20_L001_R1_001_val_1	32963640.0	1710660.0	6.0	5921326.0	17453713.0	102186433.0	4135659.0	84.93603407310995	1.3	1.2	82.9	0.0	0.0	directional	24492120.0	8471514.0	2081027000.0	38809959.0	463764510.0	1470561964.0	21139054.0
USC_07_654159_S21_L001_R1_001_val_1	30097521.0	1587773.0	17.0	5434889.0	15916825.0	94456592.0	3837863.0	84.72648137664116	1.3	1.2	83.1	0.0	0.0	directional	22481538.0	7615966.0	1906771543.0	35523157.0	425698601.0	1346006940.0	19257696.0
USC_08_698858_S22_L001_R1_001_val_1	27139324.0	1416009.0	23.0	4876328.0	14379925.0	84744475.0	3351412.0	85.05826589330877	1.3	1.2	83.4	0.0	0.0	directional	20145028.0	6994273.0	1714580751.0	31906745.0	382042199.0	1211658850.0	16878974.0
USC_09_956122_S23_L001_R1_001_val_1	35483411.0	1850967.0	35.0	6465240.0	18848042.0	111943486.0	4368292.0	85.08666471475328	1.3	1.2	82.8	0.0	0.0	directional	26365004.0	9118372.0	2250586177.0	41702670.0	504192998.0	1585848949.0	23287462.0
USC_10_80403_S24_L001_R1_001_val_1	31253969.0	1626214.0	16.0	5632074.0	16493930.0	98398447.0	3988716.0	84.77055146127364	1.3	1.2	82.9	0.0	0.0	directional	23289785.0	7964168.0	1982025869.0	36868899.0	443362595.0	1397808826.0	20329997.0
USC_11_342410_S25_L001_R1_001_val_1	38264385.0	2004096.0	32.0	6902477.0	20168634.0	120404741.0	4627973.0	85.22807836895092	1.3	1.2	83.4	0.0	0.0	directional	28458788.0	9805565.0	2416649120.0	44896454.0	539461445.0	1705683613.0	24028210.0
USC_12_9245_S26_L001_R1_001_val_1	32935719.0	1701237.0	14.0	5948231.0	17417110.0	104550648.0	4230273.0	84.73904584244994	1.3	1.2	83.2	0.0	0.0	directional	24511894.0	8423811.0	2090025777.0	38867229.0	467400543.0	1473580160.0	21129085.0
USC_13_292035_S1_L002_R1_001_val_1	14169737.0	766325.0	9.0	2438826.0	7207661.0	42897097.0	2019979.0	83.56748488635996	1.2	1.1	82.6	0.0	0.0	directional	10368261.0	3801467.0	886617213.0	16956041.0	197233313.0	627789023.0	9051293.0
USC_14_499581_S2_L002_R1_001_val_1	18027522.0	957605.0	17.0	3107157.0	9193688.0	54612037.0	2650491.0	83.32335133667085	1.2	1.1	82.8	0.0	0.0	directional	13151942.0	4875563.0	1128775389.0	21635618.0	251028146.0	799520209.0	11314152.0
USC_15_569476_S3_L002_R1_001_val_1	17495849.0	933802.0	15.0	2998287.0	8910730.0	52762005.0	2512698.0	83.54291584005213	1.2	1.1	82.9	0.0	0.0	directional	12792242.0	4703592.0	1093385872.0	20942349.0	242824916.0	774968707.0	10921227.0
USC_16_399512_S4_L002_R1_001_val_1	17529758.0	985139.0	9.0	3022277.0	9006288.0	52241120.0	2518229.0	83.3435695673577	1.2	1.2	82.2	0.0	0.0	directional	12790561.0	4739188.0	1091968530.0	21033126.0	242332489.0	774081228.0	11285128.0
USC_17_144754_S5_L002_R1_001_val_1	25697054.0	1424568.0	16.0	4461555.0	13193486.0	78525196.0	3792904.0	83.12291121655885	1.2	1.1	83.2	0.0	0.0	directional	18726041.0	6970997.0	1606805076.0	30914526.0	358318617.0	1136400845.0	15905377.0
USC_18_468113_S6_L002_R1_001_val_1	28440240.0	1516851.0	12.0	4922156.0	14585473.0	86621361.0	4043031.0	83.64746455909776	1.2	1.1	83.2	0.0	0.0	directional	20775011.0	7665217.0	1779235489.0	34000122.0	395939496.0	1259683370.0	17483633.0
USC_19_844800_S7_L002_R1_001_val_1	20226572.0	1058009.0	5.0	3468790.0	10221288.0	61535672.0	2861865.0	83.76624866450325	1.2	1.1	83.1	0.0	0.0	directional	14752202.0	5474365.0	1264647680.0	24146446.0	281785319.0	895161514.0	12475097.0
USC_20_272703_S8_L002_R1_001_val_1	18324761.0	983041.0	5.0	3177053.0	9403500.0	55755532.0	2838795.0	82.74301013379166	1.2	1.1	82.6	0.0	0.0	directional	13348070.0	4976686.0	1147927877.0	22146597.0	255764259.0	812114817.0	11712716.0
USC_21_549053_S9_L002_R1_001_val_1	23404826.0	1282501.0	15.0	4037513.0	11987881.0	71522581.0	3523651.0	82.96353993824674	1.2	1.1	83.5	0.0	0.0	directional	17159740.0	6245071.0	1463095860.0	28210978.0	325006152.0	1036455587.0	14086146.0
USC_22_884082_S10_L002_R1_001_val_1	25521214.0	1339348.0	14.0	4387599.0	12998366.0	77661029.0	3719979.0	83.45573088455171	1.2	1.1	83.4	0.0	0.0	directional	18606281.0	6914919.0	1594070883.0	30580541.0	354562855.0	1128989067.0	15471967.0
USC_23_532825_S11_L002_R1_001_val_1	18066002.0	993710.0	11.0	3092445.0	9212609.0	54003153.0	2576640.0	83.49837347811683	1.2	1.1	83.4	0.0	0.0	directional	13165083.0	4900908.0	1123354393.0	21636352.0	248973014.0	797295179.0	10777993.0
USC_24_331011_S12_L002_R1_001_val_1	22467614.0	1226848.0	12.0	3876130.0	11478922.0	68589604.0	3155697.0	83.6777689100463	1.2	1.1	83.4	0.0	0.0	directional	16428545.0	6039057.0	1402314720.0	26850159.0	312086082.0	992656199.0	13627783.0
