Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	kmer_content
USC_01_494147_S15_L001_R1_001_val_1	USC_01_494147_S15_L001_R1_001_val_1.fq	Conventional base calls	Sanger / Illumina 1.9	52133115.0	0.0	50-151	23.0	46.96478152578318	147.99748651121268	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass	fail
USC_01_494147_S15_L001_R2_001_val_2	USC_01_494147_S15_L001_R2_001_val_2.fq	Conventional base calls	Sanger / Illumina 1.9	52133115.0	0.0	50-151	23.0	49.585338094619495	148.13815687015824	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass	fail
USC_02_53755_S16_L001_R1_001_val_1	USC_02_53755_S16_L001_R1_001_val_1.fq	Conventional base calls	Sanger / Illumina 1.9	34884616.0	0.0	50-151	23.0	50.48713953576007	147.69276365260836	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass	warn
USC_02_53755_S16_L001_R2_001_val_2	USC_02_53755_S16_L001_R2_001_val_2.fq	Conventional base calls	Sanger / Illumina 1.9	34884616.0	0.0	50-151	23.0	51.593589566985706	147.8464640401947	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass	fail
USC_03_740189_S17_L001_R1_001_val_1	USC_03_740189_S17_L001_R1_001_val_1.fq	Conventional base calls	Sanger / Illumina 1.9	33651307.0	0.0	50-151	23.0	51.348148262426264	147.64480300869147	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass	warn
USC_03_740189_S17_L001_R2_001_val_2	USC_03_740189_S17_L001_R2_001_val_2.fq	Conventional base calls	Sanger / Illumina 1.9	33651307.0	0.0	50-151	23.0	52.59329133086086	147.78556155337444	pass	pass	pass	fail	pass	pass	warn	warn	pass	pass	warn
USC_04_20438_S18_L001_R1_001_val_1	USC_04_20438_S18_L001_R1_001_val_1.fq	Conventional base calls	Sanger / Illumina 1.9	32781586.0	0.0	50-151	23.0	53.02875189725897	147.79201360178243	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass	warn
USC_04_20438_S18_L001_R2_001_val_2	USC_04_20438_S18_L001_R2_001_val_2.fq	Conventional base calls	Sanger / Illumina 1.9	32781586.0	0.0	50-151	23.0	54.17414592129427	147.93670275745657	pass	pass	pass	fail	pass	pass	warn	warn	pass	pass	fail
USC_05_495067_S19_L001_R1_001_val_1	USC_05_495067_S19_L001_R1_001_val_1.fq	Conventional base calls	Sanger / Illumina 1.9	34368571.0	0.0	50-151	23.0	53.01116835764267	147.84615831132461	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass	warn
USC_05_495067_S19_L001_R2_001_val_2	USC_05_495067_S19_L001_R2_001_val_2.fq	Conventional base calls	Sanger / Illumina 1.9	34368571.0	0.0	50-151	23.0	54.50623526840223	147.98164861145958	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass	warn
USC_06_73887_S20_L001_R1_001_val_1	USC_06_73887_S20_L001_R1_001_val_1.fq	Conventional base calls	Sanger / Illumina 1.9	38809959.0	0.0	50-151	23.0	52.56464460001125	147.67253423277256	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass	warn
USC_06_73887_S20_L001_R2_001_val_2	USC_06_73887_S20_L001_R2_001_val_2.fq	Conventional base calls	Sanger / Illumina 1.9	38809959.0	0.0	50-151	23.0	54.30888969478885	147.80649484839702	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass	fail
USC_07_654159_S21_L001_R1_001_val_1	USC_07_654159_S21_L001_R1_001_val_1.fq	Conventional base calls	Sanger / Illumina 1.9	35523157.0	0.0	50-151	23.0	54.508098099957046	147.87594618912954	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass	fail
USC_07_654159_S21_L001_R2_001_val_2	USC_07_654159_S21_L001_R2_001_val_2.fq	Conventional base calls	Sanger / Illumina 1.9	35523157.0	0.0	50-151	23.0	55.53393603049337	148.02350340089424	pass	pass	pass	fail	pass	pass	warn	warn	pass	pass	fail
USC_08_698858_S22_L001_R1_001_val_1	USC_08_698858_S22_L001_R1_001_val_1.fq	Conventional base calls	Sanger / Illumina 1.9	31906745.0	0.0	50-151	23.0	53.05857704895934	147.63341299778463	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass	warn
USC_08_698858_S22_L001_R2_001_val_2	USC_08_698858_S22_L001_R2_001_val_2.fq	Conventional base calls	Sanger / Illumina 1.9	31906745.0	0.0	50-151	23.0	54.06039394017279	147.78814072071594	pass	pass	pass	fail	warn	pass	warn	warn	pass	pass	fail
